"artist_title"	"year"	"keep"	"rank"	"votes"	"artist"	"song"	"filename"	"source"
"Pearu Paulus ja Evelin Samuel - Kallim Kullast"	1994	"TRUE"	26		"Pearu Paulus ja Evelin Samuel"	"Kallim Kullast"	"lyrics-2_quick_start-_kallim_kullast"	1
"2 Quick Start - C'est La Vie "	1999	"TRUE"	3	958	"2 Quick Start"	"C'est La Vie "	"lyrics-2_quick_start-c_et_la_vie"	1
"2 Quick Start - Hääletult Hüüdma Jään "	1998	"TRUE"	24	111	"2 Quick Start"	"Hääletult Hüüdma Jään "	"lyrics-2_quick_start-haaletult_huudma_jaan"	1
"2 Quick Start - Kaksikud"	1994	"TRUE"	17		"2 Quick Start"	"Kaksikud"	"lyrics-2_quick_start-kaksikud"	1
"2 Quick Start - Kingitus"	1994	"TRUE"	15		"2 Quick Start"	"Kingitus"	"lyrics-2_quick_start-kingitus"	1
"2 Quick Start - Kingitus "	1995	"TRUE"	33	110	"2 Quick Start"	"Kingitus "	"lyrics-2_quick_start-kingitus"	1
"2 Quick Start - Kirg su silmis "	1995	"TRUE"	14	287	"2 Quick Start"	"Kirg su silmis "	"lyrics-2_quick_start-kirg_sinu_silmis"	1
"2 Quick Start - Kolm Soovi "	2011	"TRUE"	21	140	"2 Quick Start"	"Kolm Soovi "	"lyrics-2_quick_start-kolm_soovi"	1
"2 Quick Start - Lõpuks Leidsin Sind "	1996	"TRUE"	10	578	"2 Quick Start"	"Lõpuks Leidsin Sind "	"lyrics-2_quick_start-lopuks_leidsin_sind"	1
"2 Quick Start - Ma Varjuna Kannul Sul Käin'98 "	1998	"TRUE"	16	189	"2 Quick Start"	"Ma Varjuna Kannul Sul Käin'98 "	"lyrics-2_quick_start-ma_varjuna_kannul_sul_kain"	1
"2 Quick Start - Neiu Mustas Kleidis"	1994	"TRUE"	12		"2 Quick Start"	"Neiu Mustas Kleidis"	"lyrics-2_quick_start-neiu_mustas_kleidis"	1
"2 Quick Start - Nii Kuum On Tunne "	1996	"TRUE"	18	290	"2 Quick Start"	"Nii Kuum On Tunne "	"lyrics-2_quick_start-nii_kuum_on_tunne"	1
"2 Quick Start - Oled Kuld Mu Käes, Oled Pärl Mu Peos "	1997	"TRUE"	21	234	"2 Quick Start"	"Oled Kuld Mu Käes, Oled Pärl Mu Peos "	"lyrics-2_quick_start-oled_kuld_mu_kaes_oled_parl_mu_peos"	1
"2 Quick Start - Olen Loobuda Sust Proovinud"	1994	"TRUE"	7		"2 Quick Start"	"Olen Loobuda Sust Proovinud"	"lyrics-2_quick_start-olen_loobuda_sust_proovinud"	1
"2 Quick Start - On homseks kõik ok "	2002	"TRUE"	17	274	"2 Quick Start"	"On homseks kõik ok "	"lyrics-2_quick_start-on_homseks_koik_ok"	1
"2 Quick Start - Pole Lootust Pääseda Su Käest "	1997	"TRUE"	25	173	"2 Quick Start"	"Pole Lootust Pääseda Su Käest "	"lyrics-2_quick_start-pole_lootust_mul_paaseda_su_kaest"	1
"2 Quick Start - Sa tead mis teed "	2002	"TRUE"	15	319	"2 Quick Start"	"Sa tead mis teed "	"lyrics-2_quick_start-sa_tead_mis_teed"	1
"2 Quick Start - Siis veel ei tundnud sind "	1995	"TRUE"	18	253	"2 Quick Start"	"Siis veel ei tundnud sind "	"lyrics-2_quick_start-siis_veel_ei_tundnud_sind"	1
"2 Quick Start - Sinu Jaoks"	1994	"TRUE"	9		"2 Quick Start"	"Sinu Jaoks"	"lyrics-2_quick_start-sinu_jaoks"	1
"2 Quick Start - Sinu Kõrval "	1996	"TRUE"	20	247	"2 Quick Start"	"Sinu Kõrval "	"lyrics-2_quick_start-sinu_korval"	1
"2 Quick Start - Sõnad viid mu suult "	1999	"TRUE"	39	35	"2 Quick Start"	"Sõnad viid mu suult "	"lyrics-2_quick_start-sonad_viid_mu_suult"	1
"2 Quick Start - Teine Pool"	1998	"TRUE"	3		"2 Quick Start"	"Teine Pool"	"lyrics-2_quick_start-teine_pool"	1
"2 Quick Start - Ühega Miljoneist "	2001	"TRUE"	1	2149	"2 Quick Start"	"Ühega Miljoneist "	"lyrics-2_quick_start-uhega_miljoneist"	1
"2 Quick Start - Ühega miljoneist "	2002	"TRUE"	40	150	"2 Quick Start"	"Ühega miljoneist "	"lyrics-2_quick_start-uhega_miljoneist"	1
"5miinust - Erootikapood "	2017	"TRUE"	6	453	"5miinust"	"Erootikapood "	"lyrics-5miinust-erootikapood"	1
"5MIINUST - Kuum "	2016	"TRUE"	19	96	"5MIINUST"	"Kuum "	"lyrics-5miinust-kuum_nii_kuum_on_tunne_"	1
"5MIINUST x Sass Henno - Trenažöör "	2018	"TRUE"	10	223	"5MIINUST x Sass Henno"	"Trenažöör "	"lyrics-5miinust-trenazoor"	1
"A-Rühm - Anomaalsed Alkashid "	1999	"TRUE"	6	583	"A-Rühm"	"Anomaalsed Alkashid "	"lyrics-a-ruhm-anomaalsed_alkashid"	1
"A-Rühm - Palmisaar "	2006	"TRUE"	3	2265	"A-Rühm"	"Palmisaar "	"lyrics-a-ruhm-palmisaar"	1
"A-Rühm - Popmuusik"	1998	"TRUE"	2		"A-Rühm"	"Popmuusik"	"lyrics-a-ruhm-popmuusik"	1
"A-Rühm - SuperCool "	2002	"TRUE"	19	247	"A-Rühm"	"SuperCool "	"lyrics-a-ruhm-supercool_real_"	1
"A-Rühm - Supercool "	2003	"TRUE"	36	160	"A-Rühm"	"Supercool "	"lyrics-a-ruhm-supercool_real_"	1
"A-Rühm - Viimane Lumi "	1998	"TRUE"	11	355	"A-Rühm"	"Viimane Lumi "	"lyrics-a-ruhm-viimane_lumi"	1
"Agent M - Šokolaad "	2006	"TRUE"	20	397	"Agent M"	"Šokolaad "	"lyrics-agent_m-_okolaad"	1
"Aides - Tik-Tak "	2006	"TRUE"	19	413	"Aides"	"Tik-Tak "	"lyrics-aides-tik_tak"	1
"Allan Roosileht - Turvamees"	1994	"TRUE"	24		"Allan Roosileht"	"Turvamees"	"lyrics-allan_roosileht-turvamees"	1
"Allan Roosileht - Turvamees "	1995	"TRUE"	36	106	"Allan Roosileht"	"Turvamees "	"lyrics-allan_roosileht-turvamees"	1
"Anaconda - Ei soovi et lahkuksid / You "	1999	"TRUE"	10	437	"Anaconda"	"Ei soovi et lahkuksid "	"lyrics-anaconda-ei_soovi_et_lahkuksid"	1
